id,hue,saturation,value,svsum,grid_x,grid_y
TL.2017.46.114.4.snap,0.172612844,0.148441569,0.678166306,0.826607875,41,74
A_1_610_E,0.134968598,0.148510737,0.61730444,0.765815178,41,75
IMG_92.17.122,0.120521951,0.148542397,0.640886229,0.789428625,41,76
Delphi,0.065649307,0.14854863,0.852100415,1.000649045,41,77
79_53_F,0.194640827,0.148548788,0.677837806,0.826386594,41,78
93_1_102_a,0.126136463,0.148553204,0.611461245,0.760014449,41,79
IMG_49.17.77,0.148083301,0.148558927,0.731205326,0.879764253,41,80
88_13,0.183720801,0.148573983,0.61012266,0.758696642,41,81
M_2014_8_1,0.222916657,0.148620621,0.261315982,0.409936603,41,82
IMG_M.2000.10.3,0.153176652,0.148629573,0.481289504,0.629919077,41,83
68_23,0.091486188,0.148632063,0.780647035,0.929279098,41,84
MIN_1,0.145533963,0.148634074,0.551693993,0.700328067,41,85
A_1_796_A,0.540803878,0.148670178,0.361175805,0.509845983,41,86
30_2_1_a,0.080641379,0.148674516,0.650404178,0.799078694,41,87
66_22_49_a,0.05984954,0.14868338,0.728651304,0.877334684,41,88
IMG_78.22.36,0.126622817,0.148691491,0.538488797,0.687180288,41,89
IMG_88.6.76,0.557919063,0.1487703,0.614193293,0.762963593,41,90
28_5,0.087171813,0.148774904,0.724977121,0.873752025,41,91
A_1_531_r,0.106113716,0.14878592,0.615983965,0.764769885,41,92
IMG_M.2006.5.25,0.147000578,0.148796673,0.416009622,0.564806294,41,93
60_38_1_a,0.146945491,0.148802557,0.574155208,0.722957764,41,94
62_32_17_J,0.058900108,0.148813148,0.623191691,0.772004839,41,95
89_13,0.160619696,0.148819869,0.753737059,0.902556928,41,96
78_51_40,0.086183507,0.148832954,0.658296593,0.807129546,41,97
M_2011_12_70,0.097130589,0.148840316,0.775989928,0.924830245,41,98
IMG_94.1.16,0.397652263,0.148848946,0.344359497,0.493208444,41,99
77_30_a,0.076378973,0.148854344,0.501803382,0.650657726,41,100
78_39_1,0.097742684,0.148855822,0.887087579,1.035943401,41,101
98_2_r2,0.186242362,0.148856417,0.750757081,0.899613498,41,102
84_33_11,0.085024128,0.148886109,0.877594599,1.026480708,41,103
83_33_J,0.075035995,0.148901188,0.711569066,0.860470253,41,104
91_38_A,0.104914778,0.148955448,0.564904127,0.713859575,41,105
A_4_7,0.126269396,0.148981406,0.782163141,0.931144546,41,106
M.2005.17.43,0.3210102,0.149011402,0.564334561,0.713345963,41,107
